OBJECTID,GISOBJID,OBJ_CODE,DESCRIPTION,PARKING_TYPE,OPERATOR,NUM_SPACES,HOURLY_RT,DAILY_RT,FLAT_RT,CONT_RT,ELYBRDRT,TRRESVD,TRANDOM,NTRESVD,NTRADOM,CreationDate,Creator,EditDate,Editor,hyperlink,attachment,EV,GlobalID,Address,StreetView
42,100086332,PKGL-215,Ice Blocks II,G,City of Sacramento,,,,,,,,,,,,,,,,"https://www.google.com/maps/@38.5692562,-121.489034,3a,75y,130.86h,85.88t/data=!3m6!1e1!3m4!1svA_9tJXcLcqndD4gmD90wg!2e0!7i13312!8i6656",,943486b9-b2ab-491c-8d04-5c99b7b14835,1710 R St,"https://www.google.com/maps/@38.5692562,-121.489034,3a,75y,130.86h,85.88t/data=!3m6!1e1!3m4!1svA_9tJXcLcqndD4gmD90wg!2e0!7i13312!8i6656"
43,100086331,PKGL-214,The Cannery Lot,SL,City of Sacramento,,,,,,,,,,,,,,,thecannery,"https://www.google.com/maps/@38.5650357,-121.4686257,3a,60y,115.19h,90.47t/data=!3m6!1e1!3m4!1s4uAUXa9Jx1Sx_fjysvUtMg!2e0!7i13312!8i6656",,7b0351cf-30d8-42bf-aec1-0099b2981994,1625 Alhambra Blvd,"https://www.google.com/maps/@38.5650357,-121.4686257,3a,60y,115.19h,90.47t/data=!3m6!1e1!3m4!1s4uAUXa9Jx1Sx_fjysvUtMg!2e0!7i13312!8i6656"
44,100086334,PKGL-213,Sand Cove Lot,SL,City of Sacramento,,,,,,,,,,,,,,,sandcovelot,,,d4755ffe-a3e8-40fc-ac48-0d8895694084,2005 Garden Hwy,
45,10248124,PKGL-140,1601 L Street,SL,City of Sacramento,,,,,,,,,,,,,,,1601_l_street,,,36221a12-5381-4e9d-b083-18a86abc71a6,1601 L St,
46,10248034,PKGL-68,Kaiser Permanente Garage,G,City of Sacramento,523,2,20,,,,,,,,,,,,kaiser,"https://www.google.com/maps/@38.5826128,-121.4999262,3a,75y,108.31h,94t/data=!3m6!1e1!3m4!1sdnhCE7uUumlc9OJ4J3zmyg!2e0!7i13312!8i6656",,9c1b34f4-edab-4209-bf43-a67fb5a25c13,501 J Street,"https://www.google.com/maps/@38.5826128,-121.4999262,3a,75y,108.31h,94t/data=!3m6!1e1!3m4!1sdnhCE7uUumlc9OJ4J3zmyg!2e0!7i13312!8i6656"
47,100086698,PKGL-216,304 S Street,SL,City of Sacramento,,,,,,,,,,,,,,,304_s_street,"https://www.google.com/maps/@38.57279,-121.5066617,3a,83.1y,190.4h,79.58t/data=!3m6!1e1!3m4!1sGXCEHdMgVm2A8Kt-uklDDw!2e0!7i13312!8i6656",,0dbd403d-daa4-42c2-b073-a00a6311190a,304 S Street,"https://www.google.com/maps/@38.57279,-121.5066617,3a,83.1y,190.4h,79.58t/data=!3m6!1e1!3m4!1sGXCEHdMgVm2A8Kt-uklDDw!2e0!7i13312!8i6656"
48,10248095,PKGL-55,6th/8th Street Lot W/X Freeway,SL,City of Sacramento,702,,2,,,,,,,,,,,,6th8thlotwx,"https://www.google.com/maps/@38.566867,-121.5052734,3a,75y,134.67h,81.52t/data=!3m6!1e1!3m4!1syMporI5t8oxfCLXpHrXzAA!2e0!7i13312!8i6656",,26ffff3a-72ab-4578-91e7-c5bf504d640a,6th/8th Street Lot W/X Freeway,"https://www.google.com/maps/@38.566867,-121.5052734,3a,75y,134.67h,81.52t/data=!3m6!1e1!3m4!1syMporI5t8oxfCLXpHrXzAA!2e0!7i13312!8i6656"
49,10248069,PKGL-93,510 12th St,SL,City of Sacramento,44,3,15,15,,,,,,,,,,,pkgl93,"https://www.google.com/maps/@38.5847024,-121.4886861,3a,75y,268.3h,91.24t/data=!3m6!1e1!3m4!1s8sRTO09u7tc6pYZpYFZscg!2e0!7i13312!8i6656",,d12d31c3-a29c-4909-9b4b-592f2b366b74,E Street and 12th Street,"https://www.google.com/maps/@38.5847024,-121.4886861,3a,75y,268.3h,91.24t/data=!3m6!1e1!3m4!1s8sRTO09u7tc6pYZpYFZscg!2e0!7i13312!8i6656"
50,100088042,PKGL-218,Miller Park Recreational Facility,SL,City of Sacramento,,3,6,6,,,,,,,,,,,millerpark,"https://www.google.com/maps/@38.5678721,-121.5173903,3a,75y,219.94h,90.86t/data=!3m6!1e1!3m4!1sCaX02DXg1LGDMbrNL1_icQ!2e0!7i13312!8i6656",,495085e6-1ba7-4b42-a39b-d289d1319faa,2701 Marina View Drive,"https://www.google.com/maps/@38.5678721,-121.5173903,3a,75y,219.94h,90.86t/data=!3m6!1e1!3m4!1sCaX02DXg1LGDMbrNL1_icQ!2e0!7i13312!8i6656"
51,100088041,PKGL-219,Miller Park Recreational Facility,SL,City of Sacramento,,3,6,6,,,,,,,,,,,millerpark,"https://www.google.com/maps/@38.5647081,-121.5165004,3a,75y,207.53h,83.58t/data=!3m6!1e1!3m4!1s87uuU9kPbT_ohcmYoZ3z8A!2e0!7i13312!8i6656",,d15451fb-a2f3-4db4-8569-93f9c93e6e0f,2710 Ramp Way,"https://www.google.com/maps/@38.5647081,-121.5165004,3a,75y,207.53h,83.58t/data=!3m6!1e1!3m4!1s87uuU9kPbT_ohcmYoZ3z8A!2e0!7i13312!8i6656"
52,100088043,PKGL-220,Miller Park Recreational Facility,SL,City of Sacramento,,3,8,8,,,,,,,,,,,millerpark,"https://www.google.com/maps/@38.5604632,-121.5156325,3a,75y,182.37h,92.4t/data=!3m6!1e1!3m4!1sCBuoDbUhkkDj7lM8kXshCg!2e0!7i13312!8i6656",,3f6fb8c9-62aa-46b5-a7b5-b9681d9ffa32,2710 Ramp Way,"https://www.google.com/maps/@38.5604632,-121.5156325,3a,75y,182.37h,92.4t/data=!3m6!1e1!3m4!1sCBuoDbUhkkDj7lM8kXshCg!2e0!7i13312!8i6656"
53,100089669,PKGL-467,Capitol Towers Lot 4,SL,City of Sacramento,,2.25,20,,,10,,,,,,,,,capitoltowers,,,f863ff13-ce22-4ba7-a99a-b528fedfff18,1500 7th Street,"https://www.google.com/maps/@38.5771217,-121.5000928,3a,75y,156.72h,82.41t/data=!3m6!1e1!3m4!1sGUIBCOD1FZJ4L6J6C5ZQRA!2e0!7i13312!8i6656?hl=en"
54,100089670,PKGL-727,Capitol Towers Lot 1,SL,City of Sacramento,,2.25,20,,,10,,,,,,,,,capitoltowers,,,e6115927-547d-4522-b404-f7bf3b7d5af3,1500 7th Street,"https://www.google.com/maps/@38.5762514,-121.4997645,3a,75y,264.32h,90.52t/data=!3m6!1e1!3m4!1sDDJypP48-SnXtXErRwDG_w!2e0!7i13312!8i6656?hl=en"
55,10248081,PKGL-34,Capitol Towers Garage,G,City of Sacramento,,2.25,20,,,10,,,,,,,,,capitoltowers,,,5e1a0e28-215e-430f-9efa-ebfae6bcf0a6,1500 7th Street,"https://www.google.com/maps/@38.5759443,-121.4998799,3a,75y,248.68h,95.4t/data=!3m6!1e1!3m4!1suYut7qmkyRWZsnMCBZ-1Rg!2e0!7i13312!8i6656?hl=en"
56,100089671,PKGL-434,Capitol Towers Lot 2,SL,City of Sacramento,,2.25,20,,,10,,,,,,,,,capitoltowers,,,44ecc76b-9175-40b3-85a1-4d58f1307cbf,1500 7th Street,"https://www.google.com/maps/@38.5755522,-121.5000582,3a,75y,277.26h,92.99t/data=!3m6!1e1!3m4!1sXe5D9S8R_wZrvhSiQGLwFA!2e0!7i13312!8i6656?hl=en"
57,100089668,PKGL-435,Capitol Towers Lot 3,SL,City of Sacramento,,2.25,20,,,10,,,,,,,,,capitoltowers,,,af2d93bf-0b7c-4ed9-bfc6-04aec9d15828,1500 7th Street,"https://www.google.com/maps/@38.5748997,-121.5008255,3a,75y,345.35h,94.22t/data=!3m6!1e1!3m4!1s7aSaHrxwVN59S4x7qNcsEg!2e0!7i13312!8i6656?hl=en"
58,100089672,SLT-749,Gio Garage,G,City of Sacramento,,3,24,5,,,,,,,,,,,giogarage,,,cf1f65a3-6f72-4e89-861d-735fba0532db,675 T Street,"https://www.google.com/maps/@38.5599148,-121.4625928,3a,75y,63.06h,95.62t/data=!3m6!1e1!3m4!1slvx8N-JPyXijmJLUXLpJSg!2e0!7i16384!8i8192"
